TimePeriod,GeoTypeDesc,GeoID,GeoRank,BoroID,Borough,Geography,Area,Number,Percent
2017,UHF 34,409,3,4,Queens,Southeast Queens,Southeast Queens  Queens,"26,000","17.1 (11.5, 24.8)"
2017,UHF 34,410,3,4,Queens,Rockaways,Rockaways  Queens,"27,000","33.7 (24.8, 44.0)"
2017,UHF 34,404406,3,4,Queens,Bayside Little Neck-Fresh Meadows,Bayside Little Neck-Fresh Meadows  Queens,"34,000","22.7 (15.8, 31.5)"
2017,UHF 34,501502,3,5,Staten Island,Northern SI,Northern SI  Staten Island,"43,000","30.2 (22.4, 39.2)"
2017,UHF 34,503504,3,5,Staten Island,Southern SI,Southern SI  Staten Island,"51,000","23.4 (17.1, 31.3)"
2016,Borough,1,1,1,Bronx,Bronx,Bronx,"348,000","33.5 (30.3, 36.9)"
2016,Borough,2,1,2,Brooklyn,Brooklyn,Brooklyn,"498,000","25.8 (23.7, 27.9)"
2016,Borough,3,1,3,Manhattan,Manhattan,Manhattan,"201,000","15.4 (13.2, 17.9)"
2016,Borough,4,1,4,Queens,Queens,Queens,"382,000","21.3 (19.0, 23.7)"
2016,Borough,5,1,5,Staten Island,Staten Island,Staten Island,"94,000","26.4 (21.6, 31.8)"
2016,UHF 34,101,3,1,Bronx,Kingsbridge - Riverdale,Kingsbridge - Riverdale  Bronx,"18,000","25.2 (16.5, 36.3)"
2016,UHF 34,102,3,1,Bronx,Northeast Bronx,Northeast Bronx  Bronx,"57,000","37.5 (29.9, 45.9)"
2016,UHF 34,103,3,1,Bronx,Fordham - Bronx Pk,Fordham - Bronx Pk  Bronx,"53,000","28.5 (21.8, 36.2)"
2016,UHF 34,104,3,1,Bronx,Pelham - Throgs Neck,Pelham - Throgs Neck  Bronx,"67,000","29.0 (23.0, 35.9)"
2016,UHF 34,105106107,3,1,Bronx,South Bronx,South Bronx  Bronx,"151,000","38.6 (32.8, 44.7)"
2016,UHF 34,201,3,2,Brooklyn,Greenpoint,Greenpoint  Brooklyn,"14,000*","13.5* (7.2, 24.0)"
2016,UHF 34,202,3,2,Brooklyn,Downtown - Heights - Slope,Downtown - Heights - Slope  Brooklyn,"34,000","19.0 (13.5, 26.2)"
2016,UHF 34,203,3,2,Brooklyn,Bedford Stuyvesant - Crown Heights,Bedford Stuyvesant - Crown Heights  Brooklyn,"78,000","32.1 (26.7, 37.9)"
